trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.5}",25,12,-136.3396108968749,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.21632000000000004, 'e': 0.45}",20,0,-14.310781967724783,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.5}",20,0,-115.5702750105734,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.5}",30,0,-37.275483779596385,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.5}",25,0,-51.542617832499666,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.5}",25,11,21.662431611409787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.25088, 'e': 0.45}",20,0,-5.624684508014807,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.5}",20,15,2.9184136611521856,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.45}",30,16,-108.44153787042472,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.17422222222222222, 'e': 0.405}",30,17,-22.416908611783903,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.15022222222222223, 'e': 0.36450000000000005}",20,0,15.765684880434424,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.5}",20,6,-48.980633944306625,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.392, 'e': 0.45}",25,0,-52.95294757475011,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
